iter,ARI
1,0.9153458659850925
2,0.9026538431028749
3,0.9933554768450688
4,0.7342582008750191
5,0.6298681694447682
6,0.9345497535291093
7,0.9604645885115702
8,0.9933554768450688
9,0.9026538431028749
10,0.8900508498620424
11,0.9345497535291093
12,0.9026538431028749
13,0.9409952756110616
14,0.9474630388000944
15,0.9933554768450688
16,0.7806015555525937
17,0.947462910265258
18,0.947462910265258
19,0.8223134903829294
20,0.9867330635575188
21,0.9153462025397886
22,0.9801327604833465
23,0.7399736828983817
24,0.9867330716721
25,0.9867330716721
26,0.9026542896567491
27,0.7399736828983817
28,0.9604645885115702
29,0.9281265861309774
30,0.908989187110143
31,0.9801327604833465
32,0.7399736828983817
33,0.9801327604833465
34,0.9089887974492212
35,0.9345497535291093
36,0.8837823081067547
37,0.9604645159672531
38,0.6245952418539706
39,0.9345497535291093
40,0.9539527557366613
41,0.9409952756110616
42,0.9409952756110616
43,0.9153462025397886
44,0.9026538431028749
45,0.9867330716721
46,0.8344302872585694
47,0.7572528805605532
48,0.9669985368103861
49,0.9801327604833465
50,0.9604645885115702
51,0.8651093988779436
52,0.9604645885115702
53,0.9281265861309774
54,0.9801327604833465
55,0.810285181187222
56,0.9801327604833465
57,0.7806015555525937
58,0.9409952756110616
59,0.7457112903444613
60,0.9604645885115702
61,0.9281265861309774
62,0.9735546003164187
63,0.8775358854997687
64,0.828360827994013
65,0.9409952756110616
66,0.9345497535291093
67,0.8963415104760022
68,0.9867330635575188
69,0.9539527557366613
70,0.7747312005944793
71,0.9604645885115702
72,0.9345497535291093
73,0.810285181187222
74,0.8405218679072683
75,0.9281265861309774
76,0.7983453617809722
77,0.9281265861309774
78,0.9867330716721
79,0.9409952756110616
80,0.7457112903444613
81,0.9089887974492212
82,0.7399736828983817
83,0.816288274692393
84,0.947462910265258
85,0.9867330635575188
86,0.9867330635575188
87,0.9867330716721
88,0.8651093988779436
89,0.8223134903829294
90,0.9867330635575188
91,0.816288274692393
92,0.9345497535291093
93,0.9345497535291093
94,0.816288274692393
95,0.9281263443473656
96,0.9867330716721
97,0.7864940342376121
98,0.7806015555525937
99,0.947462910265258
100,0.9867330716721
101,0.7747312005944793
102,0.9867330716721
103,0.980132771284759
104,0.9217253356470353
105,0.9867330716721
106,0.7457112903444613
107,0.9539526571614795
108,0.810285181187222
109,0.9217253356470353
110,0.8837816683566451
111,0.9345497535291093
112,0.9867330635575188
113,0.9867330716721
114,0.9539527557366613
115,0.7806015555525937
116,1
117,0.9801327604833465
118,0.7342582008750191
119,0.9409952756110616
120,0.8775351739127851
121,1
122,0.9409952756110616
123,0.9026538431028749
124,0.9801327652089659
125,0.7514710229777674
126,0.9409952756110616
127,0.9867330635575188
128,0.9281265861309774
129,0.9801327604833465
130,0.9867330716721
131,0.7806015555525937
132,0.9281265861309774
133,0.9867330716721
134,0.8102834406360346
135,0.9604645885115702
136,0.7457112903444613
137,0.9867330716721
138,0.798343388349005
139,0.9026538431028749
140,0.8900508498620424
141,0.9801327604833465
142,0.9281265861309774
143,0.908989187110143
144,0.9026538431028749
145,0.7924086363982513
146,0.9801327604833465
147,0.908989187110143
148,0.9867330635575188
149,1
150,0.9669984863478518
151,0.9345497535291093
152,0.980132771284759
153,0.9867330716721
154,0.9801327652089659
155,0.9409952756110616
156,0.816288274692393
157,0.9409952756110616
158,0.9345497535291093
159,0.9867330716721
160,0.9409952756110616
161,0.908989187110143
162,0.9409952756110616
163,0.7806015555525937
164,0.9801327652089659
165,0.798343388349005
166,0.7457112903444613
167,0.9281263443473656
168,0.7399736828983817
169,0.9345499536884543
170,1
171,0.9867330716721
172,0.9345497535291093
173,0.816288274692393
174,0.7747312005944793
175,0.7399736828983817
176,0.9669984863478518
177,0.9409952756110616
178,0.8963415104760022
179,0.9539527557366613
180,0.9604645885115702
181,0.9409952756110616
182,0.9604645885115702
183,0.840520648619769
184,0.7457112903444613
185,0.9409952756110616
186,0.8900502782432754
187,0.9867330716721
188,0.9801327652089659
189,0.9801327604833465
190,0.9217253356470353
191,0.9153462025397886
192,0.9801327604833465
193,0.7514710229777674
194,0.9409954380140502
195,0.8900508498620424
196,0.9217253356470353
197,0.7399736828983817
198,0.7399736828983817
199,0.980132771284759
200,0.8162866453989311
