item,primary_factor,primary_loading,max_cross,communality,pass_primary,pass_cross,pass_comm,keep_rule
dQ1S,PA1,0.2622971129251386,0.11349418532583402,0.12362951209617198,FALSE,TRUE,FALSE,FALSE
dQ2A,PA1,0.4065994912183511,0.16525644944294984,0.2080883923528457,FALSE,TRUE,FALSE,FALSE
dQ3D,PA2,0.40419613177877134,0.1890844453756353,0.2745258623972609,FALSE,TRUE,FALSE,FALSE
dQ4A,PA3,0.5543859402743887,0.05945002574291752,0.3458923440587013,TRUE,TRUE,FALSE,FALSE
dQ5D,PA1,0.4638600864507505,0.06358235041980348,0.27815271997726226,FALSE,TRUE,FALSE,FALSE
dQ6S,PA1,0.4842727719592007,0.0807204292283419,0.32716561245651216,FALSE,TRUE,FALSE,FALSE
dQ7A,PA1,0.5042245676568197,0.18957357828499521,0.36430326115845857,TRUE,TRUE,FALSE,FALSE
dQ8S,PA1,0.5571026677115898,0.22221290891289702,0.472719977789038,TRUE,TRUE,TRUE,TRUE
dQ9A,PA1,0.34522901463936195,0.2726961409239702,0.3712657465552725,FALSE,TRUE,FALSE,FALSE
dQ10D,PA2,0.6654756303540688,0.12810457786076362,0.51707284032049206,TRUE,TRUE,TRUE,TRUE
dQ11S,PA2,0.3490586644518364,0.2869172752153185,0.41905193464968116,FALSE,TRUE,TRUE,FALSE
dQ12S,PA2,0.2918678694399657,0.27959232809301965,0.2960086717853479,FALSE,TRUE,FALSE,FALSE
dQ13D,PA1,0.4341733352707179,0.3730175327625062,0.4762855458425972,FALSE,FALSE,TRUE,FALSE
dQ14S,PA1,0.6093770963630096,0.14849656897567426,0.30245011921287634,TRUE,TRUE,FALSE,FALSE
dQ15A,PA3,0.382043621877859,0.24088544808182133,0.48073657195824526,FALSE,TRUE,TRUE,FALSE
dQ16D,PA2,0.5325818642941331,0.2476495865285058,0.38666396871083314,TRUE,TRUE,FALSE,FALSE
dQ17D,PA2,0.7656688166381311,0.02791185171888562,0.5579163206981361,TRUE,TRUE,TRUE,TRUE
dQ18S,PA1,0.4421034195960011,0.17992699812413354,0.33049525540463676,FALSE,TRUE,FALSE,FALSE
dQ19A,PA3,0.5532485660896993,0.1589299444514381,0.3971548610358641,TRUE,TRUE,FALSE,FALSE
dQ20A,PA3,0.5305629502781405,0.2540914136781924,0.4630202993191206,TRUE,TRUE,TRUE,TRUE
dQ21D,PA2,0.7775419696877546,0.14014364828796277,0.6292236611563797,TRUE,TRUE,TRUE,TRUE
