"group","lhs","est","se","ci.lower","ci.upper","pvalue"
1,"Dep",0,0,0,0,NA
1,"Anx",0,0,0,0,NA
1,"Str",0,0,0,0,NA
2,"Dep",-0.0793177747380209,0.182094160176342,-0.436215770478718,0.277580221002676,0.663136700218667
2,"Anx",0.132144968908403,0.1880418721853,-0.236410328160268,0.500700265977075,0.48221639069252
2,"Str",0.226307554275689,0.193626281251526,-0.153192983437726,0.605808091989103,0.24249013806915
3,"Dep",-0.250679358393981,0.148180230013973,-0.541107272442229,0.0397485556542664,0.090699502370599
3,"Anx",0.294959118573089,0.13770716504375,0.0250580346742251,0.564860202471952,0.0321991091734952
3,"Str",0.0642369378741264,0.119346983708446,-0.169678851857916,0.298152727606169,0.590413581266184
4,"Dep",0.0713301940998306,0.132826042461722,-0.189004065334132,0.331664453533793,0.591254044684235
4,"Anx",0.444511971621798,0.141930042723742,0.166334199559033,0.722689743684562,0.00173673723877554
4,"Str",0.207143084268662,0.124955342646287,-0.0377648869939231,0.452051055531248,0.0973705793213884
