"lhs","op","rhs","group","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"Dep","~","BRS",1,"",-0.465150889211479,0.0654945394362495,-7.102132379513,1.2285727990502e-12,-0.593517827690566,-0.336783950732392
"Anx","~","BRS",1,"",-0.485276129689256,0.0635533108486247,-7.63573326407994,2.24265050974282e-14,-0.609838330050839,-0.360713929327673
"Str","~","BRS",1,"",-0.481710149223117,0.0691328923226686,-6.96788653040579,3.2174263253637e-12,-0.617208128322633,-0.346212170123601
"Dep","~","BRS",2,"",-0.50890744229308,0.0924387488285793,-5.50534758142184,3.68440609133103e-08,-0.690084060773039,-0.32773082381312
"Anx","~","BRS",2,"",-0.518966929966281,0.0969889787273788,-5.35078249895813,8.75747263595628e-08,-0.709061835169265,-0.328872024763297
"Str","~","BRS",2,"",-0.591113660847871,0.0784185573514546,-7.53793082673825,4.77395900588817e-14,-0.744811208976311,-0.437416112719432
"Dep","~","BRS",3,"",-0.637938421643949,0.0680596098944767,-9.37323065226268,0,-0.771332805838969,-0.504544037448929
"Anx","~","BRS",3,"",-0.47997510437014,0.0775659698126626,-6.18795981703544,6.09478689739262e-10,-0.63200161162888,-0.3279485971114
"Str","~","BRS",3,"",-0.674040878068194,0.101563657947052,-6.63663451763019,3.20925508390246e-11,-0.873101989782562,-0.474979766353826
"Dep","~","BRS",4,"",-0.612914362763915,0.0694039165203271,-8.83112068444155,0,-0.748943539529781,-0.47688518599805
"Anx","~","BRS",4,"",-0.622492832906946,0.0605802027855968,-10.2755158332838,0,-0.741227848542848,-0.503757817271043
"Str","~","BRS",4,"",-0.546806440186569,0.0794136773485585,-6.88554488903156,5.75672842728636e-12,-0.702454387669628,-0.39115849270351
